#Variables 20
#Constraints 0
Objsense Min
VariablesInfo
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
Objective 60
Offset 0.0
[4, 9, 14] -42.0
[1, 2, 6] -98.0
[14, 16, 18] 25.0
[7, 10, 11] 75.0
[1, 12, 16] 14.0
[6, 9, 14] 2.0
[6, 17, 20] 46.0
[3, 4, 9] 49.0
[4, 5, 13] 25.0
[2, 14, 19] 92.0
[5, 15, 20] 72.0
[12, 17, 18] -7.0
[1, 7, 14] 47.0
[6, 12, 19] -57.0
[2, 10, 12] -19.0
[8, 15, 16] 16.0
[4, 11, 14] 50.0
[2, 12, 17] -71.0
[15, 17, 19] 95.0
[3, 13, 16] 65.0
[8, 16, 19] 42.0
[2, 15, 20] -56.0
[2, 13, 20] 52.0
[10, 11, 15] 73.0
[3, 10, 20] -87.0
[8, 14, 18] -91.0
[1, 4, 14] 20.0
[3, 4, 18] -53.0
[2, 3, 4] 9.0
[2, 9, 19] 49.0
[2, 5, 6] 54.0
[7, 13, 19] 76.0
[5, 6, 17] -44.0
[2, 12, 15] -56.0
[3, 17, 20] 98.0
[4, 9, 11] -76.0
[9, 18, 19] 77.0
[9, 14, 19] -60.0
[10, 18, 20] 77.0
[1, 12, 13] -39.0
[16, 18, 19] 47.0
[8, 11, 13] 41.0
[1, 4, 5] -40.0
[13, 16, 18] -69.0
[3, 7, 19] -84.0
[11, 17, 19] 98.0
[1, 2, 16] 77.0
[4, 12, 17] -53.0
[1, 3, 20] 57.0
[1, 13, 16] 51.0
[1, 12, 14] -60.0
[2, 8, 14] 48.0
[4, 10, 11] 63.0
[14, 15, 16] -37.0
[3, 5, 7] 59.0
[6, 10, 13] 34.0
[4, 13, 17] 80.0
[7, 13, 18] -62.0
[3, 11, 16] -22.0
[10, 14, 18] 1.0
