#Variables 40
#Constraints 0
Objsense Min
VariablesInfo
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
Objective 60
Offset 0.0
[10, 23, 25, 29] 84.0
[30, 34, 37, 39] -26.0
[4, 8, 16, 38] 89.0
[4, 22, 33, 34] -84.0
[5, 13, 27, 39] -57.0
[23, 33, 38, 40] -9.0
[8, 13, 26, 30] -37.0
[19, 23, 28, 38] -19.0
[4, 5, 28, 33] -100.0
[19, 25, 32, 38] -98.0
[3, 33, 34, 37] 6.0
[5, 12, 15, 35] -26.0
[7, 9, 23, 32] -2.0
[8, 13, 21, 40] -59.0
[7, 16, 17, 39] 5.0
[1, 18, 35, 38] 97.0
[1, 16, 20, 21] 89.0
[11, 15, 25, 34] 45.0
[7, 13, 22, 39] 23.0
[4, 11, 16, 23] -7.0
[3, 13, 24, 32] -34.0
[1, 10, 20, 33] -47.0
[6, 12, 33, 40] 73.0
[4, 17, 18, 34] 51.0
[10, 20, 37, 38] -1.0
[1, 3, 37, 40] 30.0
[26, 30, 32, 33] -88.0
[9, 17, 26, 27] -12.0
[1, 28, 34, 36] -36.0
[17, 18, 19, 33] -75.0
[13, 16, 20, 37] -4.0
[14, 26, 30, 32] -53.0
[26, 27, 28, 38] 80.0
[6, 8, 15, 18] -7.0
[10, 25, 29, 31] 59.0
[3, 15, 26, 30] -13.0
[8, 18, 20, 36] 48.0
[2, 3, 6, 20] 27.0
[7, 14, 28, 37] 4.0
[4, 7, 13, 18] -15.0
[3, 6, 16, 33] 51.0
[6, 22, 26, 30] 51.0
[2, 7, 26, 38] 98.0
[3, 7, 9, 21] -60.0
[4, 8, 13, 18] -86.0
[4, 26, 33, 38] 24.0
[3, 25, 32, 33] -96.0
[19, 21, 24, 37] 56.0
[11, 13, 22, 24] 58.0
[2, 7, 11, 33] -56.0
[5, 26, 30, 39] 74.0
[3, 10, 13, 28] -95.0
[1, 2, 34, 35] -39.0
[3, 5, 16, 21] 81.0
[4, 6, 15, 24] -50.0
[24, 28, 32, 33] 85.0
[5, 9, 13, 28] 32.0
[13, 18, 34, 36] 1.0
[3, 14, 15, 20] -5.0
[8, 10, 14, 40] -45.0
